state-name,constituency-name,candidate-name,category,party-name,total-votes,candidate-vote-share,result,phone-number,email-address
Bihar,Valmiki Nagar,BAIDYANATH PRASAD MAHTO,GENERAL,JD(U),602660,58.38,Winner,Not Found,Not Found
Bihar,Valmiki Nagar,SHASHWAT KEDAR,GENERAL,INC,248044,24.03,2nd place,Not Found,Not Found
Bihar,Valmiki Nagar,DEEPAK YADAV,GENERAL,BSP,62963,6.1,3rd place,Not Found,Not Found
Bihar,Paschim Champaran,DR. SANJAY JAISWAL,GENERAL,BJP,603706,59.57,Winner,Not Found,Not Found
Bihar,Paschim Champaran,BRIJESH KUMAR KUSHWAHA,GENERAL,BLSP,309800,30.57,2nd place,Not Found,Not Found
Bihar,Paschim Champaran,NOTA,,NOTA,45699,4.51,3rd place,NA,NA
Bihar,Purvi Champaran,RADHA MOHAN SINGH,GENERAL,BJP,577787,57.77,Winner,Not Found,Not Found
Bihar,Purvi Champaran,AAKASH KUMAR SINGH,GENERAL,BLSP,284139,28.41,2nd place,Not Found,Not Found
Bihar,Purvi Champaran,NOTA,,NOTA,22706,2.27,3rd place,NA,NA
Bihar,Sheohar,RAMA DEVI,GENERAL,BJP,608678,60.57,Winner,Not Found,Not Found
Bihar,Sheohar,SYED FAISAL ALI,GENERAL,RJD,268318,26.7,2nd place,Not Found,Not Found
Bihar,Sheohar,Kedar Nath Prasad,GENERAL,IND,18426,1.83,3rd place,Not Found,Not Found
Bihar,Sitamarhi,Sunil Kumar Pintu,GENERAL,JD(U),567745,54.61,Winner,Not Found,Not Found
Bihar,Sitamarhi,Arjun Ray,GENERAL,RJD,317206,30.51,2nd place,Not Found,Not Found
Bihar,Sitamarhi,Dharmendra Kumar,GENERAL,IND,20487,1.97,3rd place,Not Found,Not Found
Bihar,Madhubani,ASHOK KUMAR YADAV,GENERAL,BJP,595843,61.76,Winner,Not Found,Not Found
Bihar,Madhubani,BADRI KUMAR PURBEY,GENERAL,VSIP,140903,14.61,2nd place,Not Found,Not Found
Bihar,Madhubani,DR. SHAKEEL AHMAD,GENERAL,IND,131530,13.63,3rd place,Not Found,Not Found
Bihar,Jhanjharpur,Ramprit Mandal,GENERAL,JD(U),602391,56.7,Winner,Not Found,Not Found
Bihar,Jhanjharpur,GULAB YADAV,GENERAL,RJD,279440,26.3,2nd place,Not Found,Not Found
Bihar,Jhanjharpur,Bipeen Kumar Singhwait,GENERAL,IND,29506,2.78,3rd place,Not Found,Not Found
Bihar,Supaul,Dileshwar Kamait,GENERAL,JD(U),597377,53.77,Winner,Not Found,Not Found
Bihar,Supaul,Ranjeet Ranjan,GENERAL,INC,330524,29.75,2nd place,Not Found,Not Found
