state-name,constituency-name,candidate-name,category,party-name,total-votes,candidate-vote-share
Andhra Pradesh,Vijayawada,POTLURI.V.PRASAD ( P V P ),GENERAL,YSRCP,566772,44.36
Andhra Pradesh,Vijayawada,ANDUKURI VIJAYA BHASKAR,SC,IPBP,2457,0.19
Andhra Pradesh,Vijayawada,DATLA LURDU MARY,SC,MPP,434,0.03
Andhra Pradesh,Vijayawada,PADALA SIVA PRASAD,GENERAL,NRCP,480,0.04
Andhra Pradesh,Vijayawada,Muttamsetty Prasad babu,GENERAL,JnP,81650,6.39
Andhra Pradesh,Vijayawada,SEKHAR,GENERAL,PPOI,685,0.05
Andhra Pradesh,Vijayawada,Sk. Riyaz,GENERAL,IUML,412,0.03
Andhra Pradesh,Vijayawada,ANIL KUMAR MADDINENI,GENERAL,IND,1049,0.08
Andhra Pradesh,Vijayawada,DHANEKULA GANDHI,GENERAL,IND,688,0.05
Andhra Pradesh,Vijayawada,NANDINI NALLAGHATLA,GENERAL,IND,953,0.07
Andhra Pradesh,Vijayawada,BOLISETTY HARI BABU,GENERAL,IND,1739,0.14
Andhra Pradesh,Vijayawada,MOHAMMAD ISHAQ,GENERAL,IND,1218,0.10
Andhra Pradesh,Vijayawada,NOTA,,NOTA,8911,0.70
Andhra Pradesh,Guntur,Jayadev Galla,GENERAL,TDP,587918,43.50
Andhra Pradesh,Guntur,Jayaprakash Narayana Valluru,GENERAL,BJP,11841,0.88
Andhra Pradesh,Guntur,Modugula Venugopala Reddy,GENERAL,YSRCP,583713,43.19
Andhra Pradesh,Guntur,Shaik Mastanvali,GENERAL,INC,14205,1.05
Andhra Pradesh,Guntur,Araveti Hazarath Rao,GENERAL,PPOI,810,0.06
Andhra Pradesh,Guntur,Ullagi David Jayakumar (Dr. D J Kumar),GENERAL,HMRD,447,0.03
Andhra Pradesh,Guntur,Jeldi Raja Mohan,SC,AINPP,437,0.03
Andhra Pradesh,Guntur,Nagaraju Ekula,SC,RPI(A),920,0.07
Andhra Pradesh,Guntur,Bonaboyina Srinivasa Rao (Bonaboyina Srinivasa Yadav),GENERAL,JnP,129205,9.56
Andhra Pradesh,Guntur,Mannava Hariprasad,GENERAL,CPIM,3216,0.24
Andhra Pradesh,Guntur,Ramarao Simhadri,GENERAL,PRSHP,1746,0.13
Andhra Pradesh,Guntur,N. J. Vidyasagar,SC,VCK,641,0.05
Andhra Pradesh,Guntur,Sarabandi Raju Sikhinam,SC,ILP(AP),1017,0.08
Andhra Pradesh,Guntur,Shaik Jaleel,GENERAL,NRCP,563,0.04
Andhra Pradesh,Guntur,Samudrala Chinna Kotaiah,SC,NDDHP,628,0.05
Andhra Pradesh,Guntur,Umar Basha Shaik,GENERAL,IND,2676,0.20
Andhra Pradesh,Guntur,Dasari Kiran Babu,SC,IND,2909,0.22
Andhra Pradesh,Guntur,Doppalapudi Veera Das,SC,IND,629,0.05
Andhra Pradesh,Guntur,Y. V. Suresh,GENERAL,IND,1947,0.14
Andhra Pradesh,Guntur,NOTA,,NOTA,6006,0.44
Andhra Pradesh,Narasaraopet,KANNA LAKSHMI NARAYANA,GENERAL,BJP,15486,1.07
Andhra Pradesh,Narasaraopet,PAKKALA SURIBABU,GENERAL,INC,11033,0.77
Andhra Pradesh,Narasaraopet,RAYAPATI SAMBASIVARAO,GENERAL,TDP,591555,41.06
Andhra Pradesh,Narasaraopet,LAVU SRI KRISHNA DEVARAYALU,GENERAL,YSRCP,745557,51.75
Andhra Pradesh,Narasaraopet,ALLU VENKATAREDDY,GENERAL,PPOI,2894,0.20
Andhra Pradesh,Narasaraopet,KANAKAM SRINIVASARAO,GENERAL,NNKP,887,0.06
Andhra Pradesh,Narasaraopet,NAYUB KAMAL SHAIK,GENERAL,JnP,51008,3.54
Andhra Pradesh,Narasaraopet,SURABHI DEVASAHAYAM,SC,IUML,418,0.03
